Country_Code,Life_Expectancy_1960_2013
ABW,65.56936585
AFG,32.3285122
AGO,32.98482927
ALB,62.25436585
ARE,52.24321951
ARG,65.21553659
ARM,65.86346341
ATG,61.78273171
AUS,70.81707317
AUT,68.58560976
AZE,60.8362439
BDI,41.23604878
BEL,69.70195122
BEN,37.27826829
BFA,34.47790244
BGD,45.82931707
BGR,69.24756098
BHR,52.08936585
BHS,62.72904878
BIH,60.27621951
BLR,67.70809756
BLZ,59.96136585
BOL,42.11831707
BRA,54.20546341
BRB,60.73804878
BRN,62.50036585
BTN,32.35936585
BWA,50.54773171
CAF,36.48263415
CAN,71.13317073
CHE,71.31341463
CHL,57.45829268
CHN,43.46580488
CIV,36.87241463
CMR,41.5237561
COG,48.58163415
COL,56.7167561
COM,41.44243902
CPV,48.85641463
CRI,60.57619512
CUB,63.90465854
CYP,69.59392683
CZE,70.34878049
DEU,69.31295122
DJI,44.02126829
DNK,72.17658537
DOM,51.84526829
DZA,46.13512195
ECU,53.215
EGY,48.01370732
ERI,37.36290244
ESP,69.10926829
EST,67.90597561
ETH,38.40570732
FIN,68.8197561
FJI,55.9584878
FRA,69.86829268
FSM,57.58658537
GAB,39.57012195
GBR,71.12682927
GEO,63.43185366
GHA,45.83146341
GIN,34.88639024
GMB,32.04221951
GNB,37.84043902
GNQ,36.73304878
GRC,68.16390244
GRD,59.81592683
GTM,45.53163415
GUM,61.22634146
GUY,60.27873171
HKG,66.99970732
HND,46.28831707
HRV,64.60865854
HTI,42.10009756
HUN,68.00317073
IDN,48.64031707
IND,41.17195122
IRL,69.6917561
IRN,44.9455122
IRQ,48.03068293
ISL,73.42865854
ITA,69.12390244
JAM,64.19182927
JOR,52.68526829
JPN,67.66609756
KAZ,58.36758537
KEN,46.36241463
KGZ,56.12807317
KHM,41.23202439
KIR,49.21597561
KOR,53.00131707
KWT,60.34795122
LAO,43.20446341
LBN,63.28012195
LBR,34.78317073
LBY,42.64119512
LCA,57.3037561
LKA,59.74714634
LSO,46.51070732
LTU,69.84731707
LUX,68.44639024
LVA,69.78682927
MAC,64.66092683
MAR,48.44663415
MDA,61.81278049
MDG,39.97468293
MDV,37.26863415
MEX,57.06563415
MKD,60.62280488
MLI,28.21160976
MLT,67.60178049
MMR,42.73639024
MNE,63.70560976
MNG,48.36880488
MOZ,35.00370732
MRT,43.48309756
MUS,58.74521951
MWI,37.77363415
MYS,59.47534146
NAM,46.88039024
NCL,58.63902439
NER,35.51504878
NGA,37.18295122
NIC,46.99882927
NLD,73.39268293
NOR,73.5497561
NPL,35.17082927
NZL,71.23658537
OMN,42.66707317
PAK,45.29046341
PAN,60.88170732
PER,47.69158537
PHL,57.81192683
PNG,38.4622439
POL,67.6804878
PRI,68.71960976
PRT,62.80892683
PRY,63.79370732
PYF,56.35704878
QAT,61.20607317
ROU,65.64243902
RUS,66.05529268
RWA,42.24929268
SAU,45.66626829
SDN,48.18763415
SEN,38.206
SGP,65.65982927
SLB,49.38170732
SLE,30.33153659
SLV,49.94792683
SOM,36.96587805
SSD,31.67670732
STP,50.45136585
SUR,59.68012195
SVK,69.97592683
SVN,68.97804878
SWE,73.00560976
SWZ,44.23378049
SYR,52.7682439
TCD,38.01612195
TGO,40.27282927
THA,54.69931707
TJK,56.15353659
TKM,54.45868293
TLS,33.72712195
TON,61.36453659
TTO,62.65758537
TUN,42.0097561
TUR,45.38441463
TZA,43.65387805
UGA,43.98356098
UKR,68.29953659
URY,67.89639024
USA,69.77073171
UZB,58.88553659
VCT,57.72387805
VEN,59.28512195
VIR,63.73021951
VNM,59.06702439
VUT,46.4874878
WSM,49.9695122
YEM,34.36380488
ZAF,49.03629268
COD,41.01804878
ZMB,45.10980488
ZWE,51.54246341
ABW,75.32865854
AFG,60.02826829
AGO,51.86617073
ALB,77.5372439
ARE,77.19563415
ARG,75.98609756
ARM,74.56136585
ATG,75.77865854
AUS,82.19756098
AUT,80.8902439
AZE,70.69314634
BDI,56.25160976
BEL,80.38536585
BEN,59.31202439
BFA,58.24063415
BGD,71.2452439
BGR,74.46585366
BHR,76.54595122
BHS,75.07353659
BIH,76.27692683
BLR,72.47073171
BLZ,69.98204878
BOL,67.91343902
BRA,74.12243902
BRB,75.33395122
BRN,78.54665854
BTN,69.10292683
BWA,64.36080488
CAF,49.87987805
CAN,81.40112195
CHE,82.74878049
CHL,81.19792683
CHN,75.35302439
CIV,51.20846341
CMR,55.04180488
COG,61.66639024
COL,73.80973171
COM,62.93217073
CPV,72.97236585
CRI,79.22521951
CUB,79.25639024
CYP,79.94978049
CZE,78.27804878
DEU,81.04390244
DJI,61.68646341
DNK,80.30243902
DOM,73.31990244
DZA,74.56895122
ECU,75.6485122
EGY,70.92578049
ERI,63.17787805
ESP,82.42682927
EST,76.42439024
ETH,63.44219512
FIN,80.83170732
FJI,69.91792683
FRA,81.96829268
FSM,68.97339024
GAB,63.84358537
GBR,80.95609756
GEO,74.0795122
GHA,61.14207317
GIN,58.2164878
GMB,59.99926829
GNB,54.83841463
GNQ,57.29082927
GRC,80.63414634
GRD,73.19356098
GTM,71.48639024
GUM,78.8725122
GUY,66.31002439
HKG,83.83170732
HND,72.94285366
HRV,77.12682927
HTI,62.40114634
HUN,75.26829268
IDN,68.70460976
IND,67.66041463
IRL,81.04390244
IRN,75.12597561
IRQ,69.47168293
ISL,83.11707317
ITA,82.2902439
JAM,73.46892683
JOR,73.90141463
JPN,83.33195122
KAZ,70.45
KEN,60.95378049
KGZ,70.20243902
KHM,67.77204878
KIR,65.76658537
KOR,81.4597561
KWT,74.4627561
LAO,65.6872439
LBN,80.12887805
LBR,60.52039024
LBY,71.65768293
LCA,74.91270732
LKA,74.24029268
LSO,49.33146341
LTU,74.16341463
LUX,81.79756098
LVA,73.9804878
MAC,80.33914634
MAR,73.70904878
MDA,68.8115122
MDG,64.67390244
MDV,76.60260976
MEX,76.53265854
MKD,75.18704878
MLI,57.53519512
MLT,80.74634146
MMR,65.65409756
MNE,74.75836585
MNG,69.06180488
MOZ,54.6415122
MRT,62.80270732
MUS,74.46
MWI,61.466
MYS,74.5675122
NAM,64.34387805
NCL,77.12195122
NER,60.82814634
NGA,52.44214634
NIC,74.5147561
NLD,81.10487805
NOR,81.45121951
NPL,69.222
NZL,81.40731707
OMN,76.84104878
PAK,65.96368293
PAN,77.41921951
PER,74.28385366
PHL,68.13156098
PNG,62.44917073
POL,76.84878049
PRI,78.71119512
PRT,80.37317073
PRY,72.79917073
PYF,76.33407317
QAT,78.4184878
ROU,74.46341463
RUS,71.07317073
RWA,63.39482927
SAU,74.17763415
SDN,63.16704878
SEN,65.8787561
SGP,82.34634146
SLB,67.71892683
SLE,50.36312195
SLV,72.49814634
SOM,55.02302439
SSD,55.22090244
STP,66.2595122
SUR,70.99
SVK,76.26097561
SVN,80.27804878
SWE,81.70487805
SWZ,48.93792683
SYR,74.71578049
TCD,51.1914878
TGO,59.13236585
THA,74.24692683
TJK,69.40017073
TKM,65.45656098
TLS,67.52236585
TON,72.64034146
TTO,70.30529268
TUN,73.64634146
TUR,75.17595122
TZA,64.29182927
UGA,57.76768293
UKR,71.1595122
URY,76.83619512
USA,78.84146341
UZB,68.22758537
VCT,72.81087805
VEN,74.07441463
VIR,79.19090244
VNM,75.59646341
VUT,71.22839024
WSM,71.99182927
YEM,63.08936585
ZAF,57.82139024
COD,49.49670732
ZMB,58.09280488
ZWE,59.77387805
